image_path,shufflenetv2_x0_5_correct,mobilenetv2_x0_75_correct,repvgg_a2_correct,label
images/train_00000.png,1,1,1,0
images/train_00001.png,1,1,1,0
images/train_00002.png,1,1,1,0
images/train_00003.png,1,1,1,0
images/train_00004.png,1,1,1,0
images/train_00005.png,1,1,1,0
images/train_00006.png,1,1,1,0
images/train_00007.png,1,1,1,0
images/train_00008.png,1,1,1,0
images/train_00009.png,1,1,1,0
images/train_00010.png,1,1,1,0
images/train_00011.png,1,1,1,0
images/train_00012.png,1,1,1,0
images/train_00013.png,1,1,1,0
images/train_00014.png,1,1,1,0
images/train_00015.png,1,1,1,0
images/train_00016.png,1,1,1,0
images/train_00017.png,1,1,1,0
images/train_00018.png,1,1,1,0
images/train_00019.png,1,1,1,0
images/train_00020.png,1,1,1,0
images/train_00021.png,1,1,1,0
images/train_00022.png,1,1,1,0
images/train_00023.png,1,1,1,0
images/train_00024.png,1,1,1,0
images/train_00025.png,1,1,1,0
images/train_00026.png,1,1,1,0
images/train_00027.png,1,1,1,0
images/train_00028.png,1,1,1,0
images/train_00029.png,1,1,1,0
images/train_00030.png,1,1,1,0
images/train_00031.png,1,1,1,0
images/train_00032.png,1,1,1,0
images/train_00033.png,1,1,1,0
images/train_00034.png,1,1,1,0
images/train_00035.png,1,1,1,0
images/train_00036.png,1,1,1,0
images/train_00037.png,1,1,1,0
images/train_00038.png,1,1,1,0
images/train_00039.png,1,1,1,0
images/train_00040.png,1,1,1,0
images/train_00041.png,1,1,1,0
images/train_00042.png,1,1,1,0
images/train_00043.png,1,1,1,0
images/train_00044.png,1,1,1,0
images/train_00045.png,1,1,1,0
images/train_00046.png,1,1,1,0
images/train_00047.png,1,1,1,0
images/train_00048.png,1,1,1,0
images/train_00049.png,1,1,1,0
images/train_00050.png,0,1,1,1
images/train_00051.png,1,1,1,0
images/train_00052.png,1,1,1,0
images/train_00053.png,1,1,1,0
images/train_00054.png,1,1,1,0
images/train_00055.png,1,1,1,0
images/train_00056.png,1,1,1,0
images/train_00057.png,1,1,1,0
images/train_00058.png,1,1,1,0
images/train_00059.png,1,1,1,0
images/train_00060.png,1,1,1,0
images/train_00061.png,1,1,1,0
images/train_00062.png,1,1,1,0
images/train_00063.png,1,1,1,0
images/train_00064.png,1,1,1,0
images/train_00065.png,1,1,1,0
images/train_00066.png,1,1,1,0
images/train_00067.png,1,1,1,0
images/train_00068.png,1,1,1,0
images/train_00069.png,1,1,1,0
images/train_00070.png,1,1,1,0
images/train_00071.png,1,1,1,0
images/train_00072.png,1,1,1,0
images/train_00073.png,1,1,1,0
images/train_00074.png,1,1,1,0
images/train_00075.png,1,1,1,0
images/train_00076.png,1,1,1,0
images/train_00077.png,1,1,1,0
images/train_00078.png,1,1,1,0
images/train_00079.png,1,1,1,0
images/train_00080.png,1,1,1,0
images/train_00081.png,1,1,1,0
images/train_00082.png,1,1,1,0
images/train_00083.png,1,1,1,0
images/train_00084.png,1,1,1,0
images/train_00085.png,1,1,1,0
images/train_00086.png,0,0,1,2
images/train_00087.png,1,1,1,0
images/train_00088.png,1,1,1,0
images/train_00089.png,1,1,1,0
images/train_00090.png,0,1,1,1
images/train_00091.png,1,1,1,0
images/train_00092.png,1,1,1,0
images/train_00093.png,1,1,1,0
images/train_00094.png,1,1,1,0
images/train_00095.png,1,1,1,0
images/train_00096.png,1,1,1,0
images/train_00097.png,1,1,1,0
images/train_00098.png,1,1,1,0
images/train_00099.png,1,1,1,0
images/train_00100.png,1,1,1,0
images/train_00101.png,1,1,1,0
images/train_00102.png,1,1,1,0
images/train_00103.png,1,1,1,0
images/train_00104.png,1,1,1,0
images/train_00105.png,1,1,1,0
images/train_00106.png,1,1,1,0
images/train_00107.png,1,1,1,0
images/train_00108.png,1,1,1,0
images/train_00109.png,0,1,1,1
images/train_00110.png,1,1,1,0
